RA,DEC,CLASS,PROB,URL
131.996,31.7856,II,0.987621,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=131.996%2C31.78564&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880696046&return=FITS
135.46,55.9243,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=135.45969%2C55.92426999999999&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880717734&return=FITS
137.973,37.4037,II,0.999529,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=137.97338%2C37.40372&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880729763&return=FITS
138.105,53.6942,BENT,0.534015,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=138.10452%2C53.694230000000005&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880745998&return=FITS
138.69,41.6207,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=138.68975%2C41.620670000000004&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880759696&return=FITS
141.547,17.0661,II,0.999891,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=141.54696%2C17.06609&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880778027&return=FITS
143.066,18.0722,C,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=143.06631000000002%2C18.072210000000002&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880790541&return=FITS
144.175,11.2308,I,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=144.175%2C11.230827&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880806642&return=FITS
145.35,39.745,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=145.35012%2C39.74499&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880830799&return=FITS
145.507,8.79359,I,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=145.50737%2C8.79359&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880852859&return=FITS
146.763,23.2706,BENT,0.99953,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=146.76258%2C23.27063&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880867483&return=FITS
149.17,-0.02335,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=149.16987%2C-0.02335&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880883150&return=FITS
153.993,40.7798,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=153.9927%2C40.7798&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880899202&return=FITS
154.977,39.5063,BENT,0.946454,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=154.97701%2C39.50635&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880914408&return=FITS
155.46,8.14276,II,0.998864,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=155.45993%2C8.14276&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880930557&return=FITS
155.486,14.7254,BENT,0.999968,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=155.48613999999998%2C14.7254&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880954510&return=FITS
155.656,38.5792,I,0.998874,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=155.656%2C38.57917&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880971576&return=FITS
157.868,8.72337,II,0.9761,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=157.86763%2C8.72337&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551880990888&return=FITS
158.68,5.5555,II,0.99135,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=158.68026%2C5.5555&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881004940&return=FITS
159.012,52.9934,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=159.01228%2C52.993390000000005&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881023880&return=FITS
161.261,47.2998,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=161.26143000000002%2C47.29978&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881042699&return=FITS
161.634,54.5999,C,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=161.63425%2C54.59992&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881055280&return=FITS
161.928,43.7813,I,0.973509,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=161.92847%2C43.78131&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881071571&return=FITS
162.719,40.0141,II,0.999974,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=162.71866%2C40.014109999999995&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881083695&return=FITS
163.665,6.10853,II,0.74957,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=163.66483%2C6.10853&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881102780&return=FITS
165.146,25.6531,II,0.995007,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=165.14621%2C25.65308&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881117896&return=FITS
165.466,16.6774,II,0.549029,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=165.46625%2C16.67742&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881133148&return=FITS
165.559,24.4985,II,0.996332,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=165.55900000000003%2C24.49854&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881146668&return=FITS
165.562,23.6867,C,0.521302,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=165.56217%2C23.68667&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881159055&return=FITS
165.725,12.9845,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=165.7248%2C12.98446&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881178538&return=FITS
168.325,41.4081,II,0.999627,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=168.32464%2C41.40814&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881191619&return=FITS
170.36,53.7491,C,0.984552,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=170.3602%2C53.749109999999995&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881208481&return=FITS
172.89,60.7911,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=172.88985%2C60.7911&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881225095&return=FITS
174.11,50.2233,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=174.10981999999998%2C50.22327&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881241513&return=FITS
176.113,37.1422,I,0.748178,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=176.11332%2C37.1422&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881253899&return=FITS
176.117,3.97105,II,0.99736,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=176.11715%2C3.97105&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881269032&return=FITS
176.137,21.5381,C,0.970208,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=176.13748999999999%2C21.53806&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881284753&return=FITS
176.358,-2.39248,I,0.999961,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=176.35827%2C-2.39248&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881304686&return=FITS
177.45,43.9035,BENT,0.985788,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=177.45047%2C43.9035&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881319133&return=FITS
178.495,9.65828,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=178.49534%2C9.65828&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881334553&return=FITS
178.855,25.5396,II,0.744021,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=178.855%2C25.539579999999997&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881350412&return=FITS
179.554,30.1072,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=179.55401%2C30.10722&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881371288&return=FITS
181.887,33.8778,II,0.997712,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=181.88719%2C33.87782&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881389818&return=FITS
185.219,31.5524,II,0.999829,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=185.21858%2C31.55235&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881406231&return=FITS
186.668,25.6488,II,0.999993,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=186.66759%2C25.64878&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881428010&return=FITS
190.092,46.9434,II,0.999999,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=190.09163999999998%2C46.94343&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881444886&return=FITS
193.094,3.26502,II,0.999636,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=193.09422%2C3.2650200000000003&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881459412&return=FITS
193.263,45.0125,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=193.26324%2C45.01246&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881472533&return=FITS
198.791,8.681,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=198.79084%2C8.681000000000001&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881486274&return=FITS
199.767,29.643,I,0.989796,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=199.76734%2C29.643009999999997&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881500032&return=FITS
200.324,42.5875,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=200.32449%2C42.587540000000004&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881516870&return=FITS
202.202,27.8744,II,0.999441,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=202.20191%2C27.8744&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881530660&return=FITS
203.722,-1.54405,BENT,0.960426,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=203.72239%2C-1.54405&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881545744&return=FITS
204.372,48.3057,II,0.739017,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=204.37173%2C48.30572&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881564716&return=FITS
204.426,29.7065,II,0.882926,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=204.42646000000002%2C29.70647&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881583719&return=FITS
205.395,53.7455,BENT,0.521222,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=205.39521000000002%2C53.74548000000001&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881602156&return=FITS
206.263,9.79,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=206.26262%2C9.79&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881616655&return=FITS
206.387,5.76957,BENT,0.998189,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=206.38652%2C5.76957&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881641399&return=FITS
207.825,64.1603,BENT,0.920979,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=207.82452%2C64.16028&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881660229&return=FITS
207.852,8.87123,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=207.85233%2C8.87123&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881681365&return=FITS
208.637,28.2434,BENT,0.999993,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=208.63736%2C28.24338&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881699196&return=FITS
208.859,35.4289,I,0.541891,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=208.85918%2C35.42892&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881712041&return=FITS
213.132,14.0114,BENT,0.999992,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=213.13236%2C14.01141&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881726566&return=FITS
213.198,4.90877,C,0.995638,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=213.19768%2C4.90877&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881741529&return=FITS
213.863,17.4087,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=213.86344%2C17.40867&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881756447&return=FITS
215.923,25.0303,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=215.92267999999999%2C25.03033&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881773742&return=FITS
216.488,39.4125,BENT,0.689458,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=216.48772999999997%2C39.41247&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881790133&return=FITS
217.544,30.7412,BENT,0.98521,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=217.54389%2C30.7412&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881808637&return=FITS
219.313,24.7589,C,0.99958,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=219.31253999999998%2C24.75895&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881822914&return=FITS
221.605,21.7027,II,0.98459,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=221.60472000000001%2C21.70274&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881840309&return=FITS
221.609,6.56642,I,0.999998,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=221.60908999999998%2C6.56642&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881864367&return=FITS
222.454,33.8575,BENT,0.999992,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=222.45376000000002%2C33.85745&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881876491&return=FITS
223.598,16.3553,I,0.999738,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=223.5977%2C16.35529&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881894089&return=FITS
224.47,11.3026,BENT,0.99293,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=224.46987000000001%2C11.30264&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881909095&return=FITS
224.474,28.5385,II,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=224.47423999999998%2C28.53854&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881923970&return=FITS
225.131,36.4805,BENT,0.995358,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=225.13117999999997%2C36.480509999999995&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881939060&return=FITS
225.444,24.6545,BENT,0.987828,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=225.44405%2C24.65447&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881952528&return=FITS
227.114,54.2521,I,0.952501,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=227.11382000000003%2C54.252109999999995&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881965969&return=FITS
228.197,-1.73982,BENT,0.990506,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=228.19652999999997%2C-1.7398200000000001&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881983599&return=FITS
228.561,23.4523,BENT,0.804724,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=228.56118999999998%2C23.45233&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551881997376&return=FITS
228.597,1.19187,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=228.59692%2C1.19187&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551882010716&return=FITS
228.725,42.0132,BENT,1,https://skyview.gsfc.nasa.gov/cgi-bin/images?position=228.72534%2C42.01315&survey=first&pixels=300%2C300&sampler=LI&size=0.10000000000000002%2C0.10000000000000002&projection=Tan&coordinates=J2000.0&requestID=skv1551882029774&return=FITS
